order_id,delivery_id,customer_name,priority,weight_kg,volume_m3,order_timestamp,sla_hours,time_window_start,time_window_end,special_requirements,estimated_delivery_time_minutes
ORD_00001,DEL_0001,Customer_1,standard,19.58,6.9,2025-11-10 03:00:00,24,9,17,fragile,15
ORD_00002,DEL_0002,Customer_2,standard,5.84,2.5,2025-11-10 04:00:00,24,9,17,fragile,15
ORD_00003,DEL_0003,Customer_3,priority,4.44,2.3,2025-11-10 06:00:00,4,9,17,refrigerated,16
ORD_00004,DEL_0004,Customer_4,standard,25.54,4.88,2025-11-10 03:00:00,24,9,17,fragile,16
ORD_00005,DEL_0005,Customer_5,standard,16.58,2.64,2025-11-10 02:00:00,24,13,15,fragile,19
ORD_00006,DEL_0006,Customer_6,standard,19.08,1.84,2025-11-10 00:00:00,24,9,17,refrigerated,19
ORD_00007,DEL_0007,Customer_7,priority,7.22,0.9,2025-11-10 01:00:00,4,9,17,fragile,8
ORD_00008,DEL_0008,Customer_8,priority,11.38,1.18,2025-11-10 00:00:00,4,9,17,refrigerated,17
ORD_00009,DEL_0009,Customer_9,standard,9.73,6.48,2025-11-10 06:00:00,24,9,17,none,18
ORD_00010,DEL_0010,Customer_10,standard,27.39,5.08,2025-11-10 01:00:00,24,9,17,fragile,15
ORD_00011,DEL_0011,Customer_11,standard,28.51,1.58,2025-11-10 04:00:00,24,9,17,refrigerated,11
ORD_00012,DEL_0012,Customer_12,priority,3.69,1.91,2025-11-10 06:00:00,4,9,17,fragile,20
ORD_00013,DEL_0013,Customer_13,standard,27.68,7.6,2025-11-10 04:00:00,24,9,17,signature_required,20
ORD_00014,DEL_0014,Customer_14,standard,28.41,5.73,2025-11-10 00:00:00,24,11,16,none,17
ORD_00015,DEL_0015,Customer_15,standard,19.12,7.51,2025-11-10 04:00:00,24,9,17,signature_required,12
ORD_00016,DEL_0016,Customer_16,standard,8.48,2.78,2025-11-10 01:00:00,24,9,17,none,16
ORD_00017,DEL_0017,Customer_17,standard,11.96,1.91,2025-11-10 00:00:00,24,9,17,none,14
ORD_00018,DEL_0018,Customer_18,priority,5.5,1.69,2025-11-10 03:00:00,4,9,17,none,20
ORD_00019,DEL_0019,Customer_19,express,0.97,0.55,2025-11-10 00:00:00,1,11,17,none,18
ORD_00020,DEL_0020,Customer_20,priority,8.19,0.78,2025-11-10 01:00:00,4,9,17,refrigerated,16
ORD_00021,DEL_0021,Customer_21,priority,2.04,2.65,2025-11-10 00:00:00,4,12,16,signature_required,6
ORD_00022,DEL_0022,Customer_22,standard,15.39,6.04,2025-11-10 02:00:00,24,13,16,none,14
ORD_00023,DEL_0023,Customer_23,priority,11.5,2.12,2025-11-10 00:00:00,4,9,17,signature_required,19
ORD_00024,DEL_0024,Customer_24,priority,2.47,1.49,2025-11-10 06:00:00,4,9,17,none,13
ORD_00025,DEL_0025,Customer_25,standard,23.43,7.82,2025-11-10 01:00:00,24,13,15,none,17
ORD_00026,DEL_0026,Customer_26,standard,16.7,5.05,2025-11-10 04:00:00,24,11,15,refrigerated,9
ORD_00027,DEL_0027,Customer_27,standard,21.67,6.76,2025-11-10 01:00:00,24,9,17,none,17
ORD_00028,DEL_0028,Customer_28,standard,7.5,5.82,2025-11-10 00:00:00,24,13,15,none,9
ORD_00029,DEL_0029,Customer_29,priority,12.9,2.27,2025-11-10 05:00:00,4,9,17,refrigerated,20
ORD_00030,DEL_0030,Customer_30,standard,23.41,3.31,2025-11-10 04:00:00,24,9,17,signature_required,9
ORD_00031,DEL_0031,Customer_31,standard,23.12,7.14,2025-11-10 02:00:00,24,13,16,none,15
ORD_00032,DEL_0032,Customer_32,standard,24.06,4.18,2025-11-10 04:00:00,24,10,15,refrigerated,15
ORD_00033,DEL_0033,Customer_33,standard,8.29,7.0,2025-11-10 04:00:00,24,9,17,none,20
ORD_00034,DEL_0034,Customer_34,standard,14.56,3.57,2025-11-10 02:00:00,24,14,18,signature_required,5
ORD_00035,DEL_0035,Customer_35,standard,13.3,3.39,2025-11-10 02:00:00,24,9,17,refrigerated,8
ORD_00036,DEL_0036,Customer_36,standard,21.05,4.99,2025-11-10 03:00:00,24,9,17,none,14
ORD_00037,DEL_0037,Customer_37,standard,18.71,7.15,2025-11-10 06:00:00,24,9,17,none,20
ORD_00038,DEL_0038,Customer_38,standard,25.74,5.24,2025-11-10 06:00:00,24,11,18,none,12
ORD_00039,DEL_0039,Customer_39,standard,8.81,7.3,2025-11-10 05:00:00,24,9,17,none,20
ORD_00040,DEL_0040,Customer_40,priority,9.84,1.68,2025-11-10 05:00:00,4,10,16,none,17
ORD_00041,DEL_0041,Customer_41,standard,19.56,7.93,2025-11-10 05:00:00,24,10,18,fragile,6
ORD_00042,DEL_0042,Customer_42,standard,21.27,5.51,2025-11-10 04:00:00,24,9,17,none,11
ORD_00043,DEL_0043,Customer_43,priority,4.66,2.31,2025-11-10 00:00:00,4,9,17,signature_required,15
ORD_00044,DEL_0044,Customer_44,priority,13.01,1.29,2025-11-10 03:00:00,4,12,15,fragile,18
ORD_00045,DEL_0045,Customer_45,express,2.87,0.92,2025-11-10 06:00:00,1,13,18,none,9
ORD_00046,DEL_0046,Customer_46,standard,25.25,7.63,2025-11-10 04:00:00,24,13,16,refrigerated,20
ORD_00047,DEL_0047,Customer_47,priority,9.0,0.65,2025-11-10 04:00:00,4,9,17,signature_required,15
ORD_00048,DEL_0048,Customer_48,standard,28.27,4.48,2025-11-10 04:00:00,24,10,15,refrigerated,16
ORD_00049,DEL_0049,Customer_49,standard,15.39,3.11,2025-11-10 05:00:00,24,9,17,refrigerated,20
ORD_00050,DEL_0050,Customer_50,standard,28.73,7.74,2025-11-10 01:00:00,24,9,17,fragile,13
ORD_00051,DEL_0051,Customer_51,priority,11.89,1.87,2025-11-10 01:00:00,4,13,17,refrigerated,14
ORD_00052,DEL_0052,Customer_52,standard,19.02,7.05,2025-11-10 05:00:00,24,9,17,fragile,20
ORD_00053,DEL_0053,Customer_53,priority,10.77,0.84,2025-11-10 02:00:00,4,9,17,signature_required,16
ORD_00054,DEL_0054,Customer_54,standard,14.8,5.61,2025-11-10 02:00:00,24,13,17,none,17
ORD_00055,DEL_0055,Customer_55,standard,17.46,3.85,2025-11-10 03:00:00,24,9,17,refrigerated,9
ORD_00056,DEL_0056,Customer_56,standard,10.48,4.21,2025-11-10 02:00:00,24,9,17,none,14
ORD_00057,DEL_0057,Customer_57,standard,10.35,1.09,2025-11-10 02:00:00,24,14,16,signature_required,13
ORD_00058,DEL_0058,Customer_58,priority,11.52,1.39,2025-11-10 05:00:00,4,9,17,signature_required,11
ORD_00059,DEL_0059,Customer_59,standard,28.82,7.77,2025-11-10 04:00:00,24,10,18,refrigerated,13
ORD_00060,DEL_0060,Customer_60,priority,12.05,1.27,2025-11-10 04:00:00,4,10,12,none,12
ORD_00061,DEL_0061,Customer_61,standard,24.53,7.72,2025-11-10 01:00:00,24,9,17,none,12
ORD_00062,DEL_0062,Customer_62,priority,9.84,2.59,2025-11-10 05:00:00,4,9,17,fragile,6
ORD_00063,DEL_0063,Customer_63,standard,18.8,6.63,2025-11-10 02:00:00,24,9,17,signature_required,8
ORD_00064,DEL_0064,Customer_64,priority,4.31,1.79,2025-11-10 05:00:00,4,9,17,fragile,5
ORD_00065,DEL_0065,Customer_65,standard,11.15,3.82,2025-11-10 04:00:00,24,9,17,fragile,18
ORD_00066,DEL_0066,Customer_66,standard,27.53,2.08,2025-11-10 05:00:00,24,9,17,signature_required,20
ORD_00067,DEL_0067,Customer_67,express,2.73,0.56,2025-11-10 05:00:00,1,9,17,fragile,14
ORD_00068,DEL_0068,Customer_68,standard,7.27,1.23,2025-11-10 05:00:00,24,11,15,none,7
ORD_00069,DEL_0069,Customer_69,standard,11.89,5.35,2025-11-10 05:00:00,24,9,17,none,12
ORD_00070,DEL_0070,Customer_70,standard,19.35,3.91,2025-11-10 04:00:00,24,9,17,none,10
ORD_00071,DEL_0071,Customer_71,priority,13.41,2.94,2025-11-10 00:00:00,4,12,15,signature_required,20
