datetime,hour,traffic_level,congestion_factor,speed_multiplier,average_speed_kmh
2025-11-10 00:00:00,0,light,0.275,0.835,41.8
2025-11-10 01:00:00,1,light,0.108,0.935,46.8
2025-11-10 02:00:00,2,light,0.266,0.84,42.0
2025-11-10 03:00:00,3,light,0.214,0.871,43.6
2025-11-10 04:00:00,4,light,0.221,0.867,43.4
2025-11-10 05:00:00,5,light,0.205,0.877,43.9
2025-11-10 06:00:00,6,light,0.275,0.835,41.8
2025-11-10 07:00:00,7,heavy,0.613,0.632,31.6
2025-11-10 08:00:00,8,severe,0.863,0.482,24.1
2025-11-10 09:00:00,9,heavy,0.605,0.637,31.8
2025-11-10 10:00:00,10,light,0.359,0.785,39.2
2025-11-10 11:00:00,11,light,0.289,0.826,41.3
2025-11-10 12:00:00,12,moderate,0.262,0.843,42.1
2025-11-10 13:00:00,13,light,0.441,0.735,36.8
2025-11-10 14:00:00,14,light,0.285,0.829,41.4
2025-11-10 15:00:00,15,moderate,0.345,0.793,39.7
2025-11-10 16:00:00,16,light,0.308,0.815,40.8
2025-11-10 17:00:00,17,moderate,0.615,0.631,31.6
2025-11-10 18:00:00,18,moderate,0.507,0.696,34.8
2025-11-10 19:00:00,19,moderate,0.568,0.659,33.0
2025-11-10 20:00:00,20,light,0.27,0.838,41.9
2025-11-10 21:00:00,21,light,0.26,0.844,42.2
2025-11-10 22:00:00,22,light,0.153,0.908,45.4
2025-11-10 23:00:00,23,light,0.149,0.911,45.5
