vehicle_id,vehicle_type,capacity_kg,capacity_vol,fuel_efficiency_l_per_km,depot_latitude,depot_longitude,depot_name,cost_per_km,driver_name,available_from,available_until
VEH_001,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,1.12,Driver_1,08:00,20:00
VEH_002,small_van,500,5,0.07,40.791587,-74.006,Warehouse 1,0.92,Driver_2,08:00,20:00
VEH_003,small_van,500,5,0.07,40.762612,-73.958255,Warehouse 2,1.25,Driver_3,08:00,20:00
VEH_004,small_van,500,5,0.07,40.672124,-73.967012,Warehouse 5,1.48,Driver_4,08:00,20:00
VEH_005,small_van,500,5,0.07,40.762612,-73.958255,Warehouse 2,1.38,Driver_5,08:00,20:00
VEH_006,small_van,500,5,0.07,40.686469,-73.899086,Warehouse 4,0.84,Driver_6,08:00,20:00
VEH_007,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,1.06,Driver_7,08:00,20:00
VEH_008,small_van,500,5,0.07,40.762612,-73.958255,Warehouse 2,1.45,Driver_8,08:00,20:00
VEH_009,small_van,500,5,0.07,40.762612,-73.958255,Warehouse 2,1.15,Driver_9,08:00,20:00
VEH_010,small_van,500,5,0.07,40.686469,-73.899086,Warehouse 4,1.26,Driver_10,08:00,20:00
VEH_011,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,1.44,Driver_11,08:00,20:00
VEH_012,small_van,500,5,0.07,40.62475,-74.090397,Warehouse 7,1.41,Driver_12,08:00,20:00
VEH_013,small_van,500,5,0.07,40.686469,-73.899086,Warehouse 4,1.15,Driver_13,08:00,20:00
VEH_014,small_van,500,5,0.07,40.686469,-73.899086,Warehouse 4,1.11,Driver_14,08:00,20:00
VEH_015,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,1.04,Driver_15,08:00,20:00
VEH_016,small_van,500,5,0.07,40.686469,-73.899086,Warehouse 4,1.3,Driver_16,08:00,20:00
VEH_017,small_van,500,5,0.07,40.749299,-74.040985,Warehouse 10,1.0,Driver_17,08:00,20:00
VEH_018,small_van,500,5,0.07,40.743386,-73.881811,Warehouse 3,0.97,Driver_18,08:00,20:00
VEH_019,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,1.05,Driver_19,08:00,20:00
VEH_020,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,0.92,Driver_20,08:00,20:00
VEH_021,small_van,500,5,0.07,40.62475,-74.090397,Warehouse 7,1.29,Driver_21,08:00,20:00
VEH_022,small_van,500,5,0.07,40.762612,-73.958255,Warehouse 2,1.23,Driver_22,08:00,20:00
VEH_023,small_van,500,5,0.07,40.749299,-74.040985,Warehouse 10,1.14,Driver_23,08:00,20:00
VEH_024,small_van,500,5,0.07,40.637691,-74.006,Warehouse 6,1.07,Driver_24,08:00,20:00
VEH_025,small_van,500,5,0.07,40.69731,-74.068895,Warehouse 8,1.44,Driver_25,08:00,20:00
VEH_026,small_van,500,5,0.07,40.62475,-74.090397,Warehouse 7,0.82,Driver_26,08:00,20:00
