date,day_of_week,forecasted_orders,confidence_level
2025-11-10,Monday,69,0.8
2025-11-11,Tuesday,105,0.87
2025-11-12,Wednesday,116,0.85
2025-11-13,Thursday,107,0.93
2025-11-14,Friday,92,0.78
2025-11-15,Saturday,46,0.77
2025-11-16,Sunday,63,0.78
2025-11-17,Monday,111,0.91
2025-11-18,Tuesday,125,0.88
2025-11-19,Wednesday,119,0.85
2025-11-20,Thursday,96,0.85
2025-11-21,Friday,109,0.89
2025-11-22,Saturday,51,0.83
2025-11-23,Sunday,55,0.77
2025-11-24,Monday,89,0.85
2025-11-25,Tuesday,104,0.77
2025-11-26,Wednesday,116,0.8
2025-11-27,Thursday,105,0.92
2025-11-28,Friday,113,0.83
2025-11-29,Saturday,66,0.82
2025-11-30,Sunday,42,0.84
2025-12-01,Monday,75,0.8
2025-12-02,Tuesday,120,0.95
2025-12-03,Wednesday,117,0.92
2025-12-04,Thursday,99,0.78
2025-12-05,Friday,124,0.84
2025-12-06,Saturday,80,0.84
2025-12-07,Sunday,80,0.78
2025-12-08,Monday,106,0.89
2025-12-09,Tuesday,108,0.81
