order_id,delivery_id,customer_name,priority,weight_kg,volume_m3,order_timestamp,sla_hours,time_window_start,time_window_end,special_requirements,estimated_delivery_time_minutes
ORD_00001,DEL_0001,Customer_1,standard,29.54,4.15,2025-11-10 06:00:00,24,9,17,none,12
ORD_00002,DEL_0002,Customer_2,express,1.54,0.95,2025-11-10 00:00:00,1,10,12,none,6
ORD_00003,DEL_0003,Customer_3,standard,6.75,6.1,2025-11-10 03:00:00,24,9,17,none,6
ORD_00004,DEL_0004,Customer_4,priority,6.87,1.42,2025-11-10 00:00:00,4,10,17,signature_required,19
ORD_00005,DEL_0005,Customer_5,standard,28.23,3.65,2025-11-10 01:00:00,24,9,17,none,11
ORD_00006,DEL_0006,Customer_6,priority,6.85,2.08,2025-11-10 04:00:00,4,9,13,refrigerated,12
ORD_00007,DEL_0007,Customer_7,standard,6.22,5.07,2025-11-10 06:00:00,24,9,17,none,15
ORD_00008,DEL_0008,Customer_8,standard,18.03,3.45,2025-11-10 04:00:00,24,9,17,none,15
ORD_00009,DEL_0009,Customer_9,priority,2.19,1.02,2025-11-10 01:00:00,4,9,17,refrigerated,9
ORD_00010,DEL_0010,Customer_10,standard,21.56,3.43,2025-11-10 01:00:00,24,14,18,signature_required,14
ORD_00011,DEL_0011,Customer_11,standard,11.46,5.24,2025-11-10 02:00:00,24,9,17,none,10
ORD_00012,DEL_0012,Customer_12,priority,13.08,1.85,2025-11-10 05:00:00,4,9,17,signature_required,20
ORD_00013,DEL_0013,Customer_13,standard,15.37,5.99,2025-11-10 05:00:00,24,9,16,signature_required,15
ORD_00014,DEL_0014,Customer_14,standard,9.63,5.2,2025-11-10 05:00:00,24,9,17,signature_required,18
ORD_00015,DEL_0015,Customer_15,priority,11.42,2.36,2025-11-10 01:00:00,4,9,17,refrigerated,17
ORD_00016,DEL_0016,Customer_16,standard,8.34,4.11,2025-11-10 01:00:00,24,9,17,none,20
ORD_00017,DEL_0017,Customer_17,express,2.44,0.59,2025-11-10 01:00:00,1,9,17,fragile,14
ORD_00018,DEL_0018,Customer_18,standard,23.71,2.58,2025-11-10 06:00:00,24,9,17,fragile,19
ORD_00019,DEL_0019,Customer_19,priority,8.02,1.2,2025-11-10 00:00:00,4,9,17,none,18
ORD_00020,DEL_0020,Customer_20,priority,2.82,2.44,2025-11-10 03:00:00,4,9,17,none,9
ORD_00021,DEL_0021,Customer_21,standard,29.58,6.51,2025-11-10 03:00:00,24,9,17,fragile,13
ORD_00022,DEL_0022,Customer_22,priority,3.96,1.04,2025-11-10 01:00:00,4,9,17,refrigerated,7
ORD_00023,DEL_0023,Customer_23,standard,15.38,7.22,2025-11-10 03:00:00,24,9,17,refrigerated,7
ORD_00024,DEL_0024,Customer_24,standard,26.45,6.49,2025-11-10 04:00:00,24,9,17,fragile,6
ORD_00025,DEL_0025,Customer_25,standard,17.86,6.15,2025-11-10 02:00:00,24,9,17,signature_required,6
ORD_00026,DEL_0026,Customer_26,standard,7.36,6.24,2025-11-10 06:00:00,24,9,17,none,11
ORD_00027,DEL_0027,Customer_27,priority,14.57,2.57,2025-11-10 06:00:00,4,9,17,none,11
ORD_00028,DEL_0028,Customer_28,priority,12.42,2.19,2025-11-10 06:00:00,4,12,15,refrigerated,14
ORD_00029,DEL_0029,Customer_29,standard,19.28,3.13,2025-11-10 01:00:00,24,9,14,none,20
ORD_00030,DEL_0030,Customer_30,express,4.51,0.86,2025-11-10 01:00:00,1,9,17,none,11
ORD_00031,DEL_0031,Customer_31,standard,7.01,3.19,2025-11-10 04:00:00,24,12,15,refrigerated,14
ORD_00032,DEL_0032,Customer_32,standard,27.92,5.94,2025-11-10 04:00:00,24,12,17,refrigerated,14
ORD_00033,DEL_0033,Customer_33,standard,17.79,1.04,2025-11-10 02:00:00,24,9,17,refrigerated,20
ORD_00034,DEL_0034,Customer_34,standard,15.06,3.73,2025-11-10 06:00:00,24,12,14,signature_required,15
ORD_00035,DEL_0035,Customer_35,standard,23.33,5.73,2025-11-10 02:00:00,24,10,14,signature_required,6
ORD_00036,DEL_0036,Customer_36,standard,19.24,7.08,2025-11-10 05:00:00,24,13,16,fragile,5
ORD_00037,DEL_0037,Customer_37,standard,20.46,5.43,2025-11-10 02:00:00,24,9,17,none,18
ORD_00038,DEL_0038,Customer_38,standard,17.35,7.03,2025-11-10 02:00:00,24,9,17,fragile,11
ORD_00039,DEL_0039,Customer_39,priority,8.55,2.87,2025-11-10 02:00:00,4,9,17,fragile,17
ORD_00040,DEL_0040,Customer_40,standard,26.59,1.77,2025-11-10 04:00:00,24,9,17,fragile,20
ORD_00041,DEL_0041,Customer_41,standard,6.36,5.51,2025-11-10 04:00:00,24,9,17,refrigerated,13
ORD_00042,DEL_0042,Customer_42,standard,18.87,6.23,2025-11-10 06:00:00,24,9,17,signature_required,20
ORD_00043,DEL_0043,Customer_43,standard,10.1,1.3,2025-11-10 03:00:00,24,9,17,fragile,16
ORD_00044,DEL_0044,Customer_44,standard,28.72,1.42,2025-11-10 01:00:00,24,9,17,fragile,20
ORD_00045,DEL_0045,Customer_45,standard,9.29,4.18,2025-11-10 01:00:00,24,9,17,none,6
ORD_00046,DEL_0046,Customer_46,standard,27.76,5.47,2025-11-10 04:00:00,24,9,17,none,7
ORD_00047,DEL_0047,Customer_47,priority,9.6,2.58,2025-11-10 06:00:00,4,9,17,none,5
ORD_00048,DEL_0048,Customer_48,standard,23.51,1.66,2025-11-10 03:00:00,24,9,17,fragile,12
ORD_00049,DEL_0049,Customer_49,priority,2.86,1.08,2025-11-10 00:00:00,4,9,17,fragile,5
ORD_00050,DEL_0050,Customer_50,standard,11.16,5.83,2025-11-10 01:00:00,24,9,17,none,19
ORD_00051,DEL_0051,Customer_51,standard,29.4,5.78,2025-11-10 04:00:00,24,11,13,none,20
ORD_00052,DEL_0052,Customer_52,priority,13.5,0.81,2025-11-10 00:00:00,4,14,17,none,18
ORD_00053,DEL_0053,Customer_53,standard,22.28,5.22,2025-11-10 00:00:00,24,9,17,none,13
ORD_00054,DEL_0054,Customer_54,priority,12.09,0.82,2025-11-10 00:00:00,4,13,17,none,18
ORD_00055,DEL_0055,Customer_55,standard,14.9,5.69,2025-11-10 06:00:00,24,9,17,fragile,8
ORD_00056,DEL_0056,Customer_56,standard,18.8,6.53,2025-11-10 00:00:00,24,9,17,none,9
ORD_00057,DEL_0057,Customer_57,standard,16.87,1.39,2025-11-10 01:00:00,24,9,17,fragile,13
ORD_00058,DEL_0058,Customer_58,standard,15.96,4.71,2025-11-10 06:00:00,24,9,17,refrigerated,13
ORD_00059,DEL_0059,Customer_59,standard,7.86,1.06,2025-11-10 02:00:00,24,12,14,signature_required,19
ORD_00060,DEL_0060,Customer_60,standard,20.76,2.54,2025-11-10 05:00:00,24,13,16,fragile,14
ORD_00061,DEL_0061,Customer_61,priority,6.75,1.38,2025-11-10 05:00:00,4,14,16,none,7
ORD_00062,DEL_0062,Customer_62,express,1.27,0.91,2025-11-10 03:00:00,1,9,17,signature_required,17
ORD_00063,DEL_0063,Customer_63,standard,29.67,2.9,2025-11-10 00:00:00,24,13,18,none,10
ORD_00064,DEL_0064,Customer_64,priority,11.19,2.04,2025-11-10 06:00:00,4,9,18,signature_required,15
ORD_00065,DEL_0065,Customer_65,standard,24.51,3.13,2025-11-10 04:00:00,24,13,15,none,12
ORD_00066,DEL_0066,Customer_66,standard,9.36,7.13,2025-11-10 01:00:00,24,9,17,none,20
ORD_00067,DEL_0067,Customer_67,express,2.28,0.74,2025-11-10 00:00:00,1,11,13,refrigerated,6
ORD_00068,DEL_0068,Customer_68,standard,9.77,3.43,2025-11-10 01:00:00,24,9,17,refrigerated,5
ORD_00069,DEL_0069,Customer_69,express,3.49,0.28,2025-11-10 01:00:00,1,10,16,signature_required,7
ORD_00070,DEL_0070,Customer_70,standard,19.06,6.36,2025-11-10 02:00:00,24,9,17,fragile,12
ORD_00071,DEL_0071,Customer_71,standard,18.07,4.3,2025-11-10 04:00:00,24,9,17,signature_required,15
ORD_00072,DEL_0072,Customer_72,standard,22.18,5.61,2025-11-10 06:00:00,24,12,15,none,16
ORD_00073,DEL_0073,Customer_73,priority,3.6,2.25,2025-11-10 00:00:00,4,9,17,none,18
ORD_00074,DEL_0074,Customer_74,standard,27.58,7.23,2025-11-10 01:00:00,24,9,17,none,15
ORD_00075,DEL_0075,Customer_75,standard,23.41,4.59,2025-11-10 04:00:00,24,9,17,none,17
ORD_00076,DEL_0076,Customer_76,standard,29.26,7.53,2025-11-10 06:00:00,24,9,17,refrigerated,5
ORD_00077,DEL_0077,Customer_77,standard,8.29,6.98,2025-11-10 06:00:00,24,14,17,signature_required,20
ORD_00078,DEL_0078,Customer_78,priority,8.38,1.52,2025-11-10 01:00:00,4,9,17,refrigerated,17
ORD_00079,DEL_0079,Customer_79,standard,19.42,4.91,2025-11-10 05:00:00,24,12,15,none,17
ORD_00080,DEL_0080,Customer_80,priority,5.29,2.85,2025-11-10 00:00:00,4,9,17,none,14
ORD_00081,DEL_0081,Customer_81,standard,23.24,5.01,2025-11-10 00:00:00,24,10,17,none,13
ORD_00082,DEL_0082,Customer_82,express,0.61,0.33,2025-11-10 01:00:00,1,9,17,signature_required,9
ORD_00083,DEL_0083,Customer_83,standard,19.72,6.26,2025-11-10 05:00:00,24,9,17,signature_required,15
ORD_00084,DEL_0084,Customer_84,standard,6.34,3.64,2025-11-10 00:00:00,24,11,13,none,14
ORD_00085,DEL_0085,Customer_85,standard,18.86,2.4,2025-11-10 06:00:00,24,12,16,refrigerated,8
ORD_00086,DEL_0086,Customer_86,standard,28.71,7.61,2025-11-10 01:00:00,24,9,17,none,10
ORD_00087,DEL_0087,Customer_87,priority,12.22,1.97,2025-11-10 04:00:00,4,12,17,none,18
ORD_00088,DEL_0088,Customer_88,priority,11.13,2.04,2025-11-10 00:00:00,4,9,17,none,7
ORD_00089,DEL_0089,Customer_89,standard,22.6,7.55,2025-11-10 00:00:00,24,11,17,none,15
ORD_00090,DEL_0090,Customer_90,priority,8.18,2.19,2025-11-10 06:00:00,4,9,17,signature_required,5
ORD_00091,DEL_0091,Customer_91,standard,21.17,2.59,2025-11-10 02:00:00,24,9,17,signature_required,17
ORD_00092,DEL_0092,Customer_92,standard,24.34,1.86,2025-11-10 06:00:00,24,9,17,none,12
ORD_00093,DEL_0093,Customer_93,standard,26.32,7.5,2025-11-10 04:00:00,24,9,17,none,10
ORD_00094,DEL_0094,Customer_94,priority,11.8,1.04,2025-11-10 01:00:00,4,14,17,fragile,13
ORD_00095,DEL_0095,Customer_95,standard,24.33,7.4,2025-11-10 03:00:00,24,11,15,fragile,7
ORD_00096,DEL_0096,Customer_96,priority,11.04,2.03,2025-11-10 02:00:00,4,10,15,signature_required,14
ORD_00097,DEL_0097,Customer_97,standard,19.21,5.56,2025-11-10 02:00:00,24,12,14,refrigerated,12
ORD_00098,DEL_0098,Customer_98,standard,26.41,6.85,2025-11-10 05:00:00,24,9,17,signature_required,11
ORD_00099,DEL_0099,Customer_99,standard,12.95,6.25,2025-11-10 03:00:00,24,9,17,none,9
ORD_00100,DEL_0100,Customer_100,standard,12.07,3.93,2025-11-10 03:00:00,24,11,13,refrigerated,17
ORD_00101,DEL_0101,Customer_101,standard,12.34,1.29,2025-11-10 06:00:00,24,9,17,refrigerated,19
ORD_00102,DEL_0102,Customer_102,standard,21.33,2.35,2025-11-10 06:00:00,24,11,16,none,9
