datetime,hour,traffic_level,congestion_factor,speed_multiplier,average_speed_kmh
2025-11-10 00:00:00,0,light,0.178,0.893,44.6
2025-11-10 01:00:00,1,light,0.19,0.886,44.3
2025-11-10 02:00:00,2,light,0.246,0.852,42.6
2025-11-10 03:00:00,3,light,0.172,0.897,44.9
2025-11-10 04:00:00,4,light,0.113,0.932,46.6
2025-11-10 05:00:00,5,light,0.115,0.931,46.6
2025-11-10 06:00:00,6,light,0.123,0.926,46.3
2025-11-10 07:00:00,7,heavy,0.861,0.483,24.2
2025-11-10 08:00:00,8,heavy,0.814,0.512,25.6
2025-11-10 09:00:00,9,heavy,0.678,0.593,29.7
2025-11-10 10:00:00,10,light,0.438,0.737,36.9
2025-11-10 11:00:00,11,light,0.481,0.711,35.6
2025-11-10 12:00:00,12,light,0.371,0.777,38.9
2025-11-10 13:00:00,13,moderate,0.483,0.71,35.5
2025-11-10 14:00:00,14,light,0.207,0.876,43.8
2025-11-10 15:00:00,15,moderate,0.407,0.756,37.8
2025-11-10 16:00:00,16,moderate,0.264,0.842,42.1
2025-11-10 17:00:00,17,moderate,0.787,0.528,26.4
2025-11-10 18:00:00,18,moderate,0.765,0.541,27.1
2025-11-10 19:00:00,19,moderate,0.517,0.69,34.5
2025-11-10 20:00:00,20,light,0.112,0.933,46.7
2025-11-10 21:00:00,21,light,0.269,0.839,41.9
2025-11-10 22:00:00,22,light,0.112,0.933,46.6
2025-11-10 23:00:00,23,light,0.154,0.907,45.4
