vehicle_id,vehicle_type,capacity_kg,capacity_vol,fuel_efficiency_l_per_km,depot_latitude,depot_longitude,depot_name,cost_per_km,driver_name,available_from,available_until
VEH_001,small_van,500,5,0.07,40.648718,-73.859568,Warehouse 2,0.93,Driver_1,08:00,20:00
VEH_002,small_van,500,5,0.07,40.647187,-74.15593,Warehouse 3,1.09,Driver_2,08:00,20:00
VEH_003,small_van,500,5,0.07,40.772161,-74.006,Warehouse 1,1.46,Driver_3,08:00,20:00
VEH_004,small_van,500,5,0.07,40.647187,-74.15593,Warehouse 3,1.12,Driver_4,08:00,20:00
VEH_005,small_van,500,5,0.07,40.647187,-74.15593,Warehouse 3,1.0,Driver_5,08:00,20:00
VEH_006,small_van,500,5,0.07,40.772161,-74.006,Warehouse 1,1.19,Driver_6,08:00,20:00
VEH_007,small_van,500,5,0.07,40.648718,-73.859568,Warehouse 2,0.88,Driver_7,08:00,20:00
VEH_008,small_van,500,5,0.07,40.648718,-73.859568,Warehouse 2,1.23,Driver_8,08:00,20:00
VEH_009,small_van,500,5,0.07,40.772161,-74.006,Warehouse 1,1.2,Driver_9,08:00,20:00
VEH_010,medium_truck,2000,15,0.1,40.648718,-73.859568,Warehouse 2,1.35,Driver_10,08:00,20:00
VEH_011,medium_truck,2000,15,0.1,40.648718,-73.859568,Warehouse 2,1.49,Driver_11,08:00,20:00
VEH_012,medium_truck,2000,15,0.1,40.772161,-74.006,Warehouse 1,0.98,Driver_12,08:00,20:00
VEH_013,medium_truck,2000,15,0.1,40.772161,-74.006,Warehouse 1,1.16,Driver_13,08:00,20:00
VEH_014,medium_truck,2000,15,0.1,40.648718,-73.859568,Warehouse 2,1.44,Driver_14,08:00,20:00
VEH_015,medium_truck,2000,15,0.1,40.647187,-74.15593,Warehouse 3,1.35,Driver_15,08:00,20:00
VEH_016,medium_truck,2000,15,0.1,40.648718,-73.859568,Warehouse 2,1.14,Driver_16,08:00,20:00
VEH_017,medium_truck,2000,15,0.1,40.772161,-74.006,Warehouse 1,1.46,Driver_17,08:00,20:00
VEH_018,medium_truck,2000,15,0.1,40.647187,-74.15593,Warehouse 3,0.84,Driver_18,08:00,20:00
VEH_019,medium_truck,2000,15,0.1,40.647187,-74.15593,Warehouse 3,1.45,Driver_19,08:00,20:00
VEH_020,medium_truck,2000,15,0.1,40.647187,-74.15593,Warehouse 3,0.84,Driver_20,08:00,20:00
VEH_021,medium_truck,2000,15,0.1,40.647187,-74.15593,Warehouse 3,1.18,Driver_21,08:00,20:00
VEH_022,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,1.42,Driver_22,08:00,20:00
VEH_023,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,0.98,Driver_23,08:00,20:00
VEH_024,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,1.13,Driver_24,08:00,20:00
VEH_025,large_truck,5000,30,0.12,40.772161,-74.006,Warehouse 1,1.03,Driver_25,08:00,20:00
VEH_026,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,1.47,Driver_26,08:00,20:00
VEH_027,large_truck,5000,30,0.12,40.648718,-73.859568,Warehouse 2,1.38,Driver_27,08:00,20:00
VEH_028,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,1.3,Driver_28,08:00,20:00
VEH_029,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,1.21,Driver_29,08:00,20:00
VEH_030,large_truck,5000,30,0.12,40.647187,-74.15593,Warehouse 3,1.37,Driver_30,08:00,20:00
