date,day_of_week,forecasted_orders,confidence_level
2025-11-10,Monday,99,0.86
2025-11-11,Tuesday,82,0.9
2025-11-12,Wednesday,84,0.94
2025-11-13,Thursday,106,0.82
2025-11-14,Friday,89,0.95
2025-11-15,Saturday,48,0.84
2025-11-16,Sunday,67,0.83
2025-11-17,Monday,107,0.89
2025-11-18,Tuesday,73,0.91
2025-11-19,Wednesday,107,0.87
2025-11-20,Thursday,99,0.87
2025-11-21,Friday,101,0.86
2025-11-22,Saturday,70,0.8
2025-11-23,Sunday,74,0.85
2025-11-24,Monday,83,0.91
2025-11-25,Tuesday,113,0.91
2025-11-26,Wednesday,101,0.82
2025-11-27,Thursday,101,0.77
2025-11-28,Friday,101,0.95
2025-11-29,Saturday,76,0.88
2025-11-30,Sunday,69,0.77
2025-12-01,Monday,104,0.92
2025-12-02,Tuesday,124,0.79
2025-12-03,Wednesday,122,0.82
2025-12-04,Thursday,89,0.81
2025-12-05,Friday,98,0.8
2025-12-06,Saturday,61,0.84
2025-12-07,Sunday,54,0.78
2025-12-08,Monday,86,0.84
2025-12-09,Tuesday,138,0.9
