order_id,delivery_id,customer_name,priority,weight_kg,volume_m3,order_timestamp,sla_hours,time_window_start,time_window_end,special_requirements,estimated_delivery_time_minutes
ORD_00001,DEL_0001,Customer_1,standard,10.53,7.91,2025-11-10 04:00:00,24,9,17,none,20
ORD_00002,DEL_0002,Customer_2,standard,22.64,7.48,2025-11-10 06:00:00,24,12,17,none,13
ORD_00003,DEL_0003,Customer_3,standard,27.89,1.24,2025-11-10 02:00:00,24,9,17,fragile,7
ORD_00004,DEL_0004,Customer_4,standard,28.11,7.8,2025-11-10 02:00:00,24,9,17,signature_required,12
ORD_00005,DEL_0005,Customer_5,standard,26.55,6.91,2025-11-10 04:00:00,24,12,18,signature_required,15
ORD_00006,DEL_0006,Customer_6,priority,2.48,1.99,2025-11-10 06:00:00,4,9,18,refrigerated,10
ORD_00007,DEL_0007,Customer_7,standard,6.92,5.87,2025-11-10 02:00:00,24,12,15,refrigerated,15
ORD_00008,DEL_0008,Customer_8,priority,2.85,1.29,2025-11-10 02:00:00,4,9,17,none,13
ORD_00009,DEL_0009,Customer_9,priority,6.14,2.06,2025-11-10 04:00:00,4,9,17,none,11
ORD_00010,DEL_0010,Customer_10,standard,10.82,1.17,2025-11-10 00:00:00,24,9,17,fragile,18
ORD_00011,DEL_0011,Customer_11,standard,26.87,4.7,2025-11-10 03:00:00,24,9,17,none,12
ORD_00012,DEL_0012,Customer_12,priority,14.97,1.38,2025-11-10 05:00:00,4,9,17,signature_required,20
ORD_00013,DEL_0013,Customer_13,standard,17.0,5.39,2025-11-10 03:00:00,24,9,17,none,7
ORD_00014,DEL_0014,Customer_14,express,3.96,0.48,2025-11-10 02:00:00,1,9,17,fragile,17
ORD_00015,DEL_0015,Customer_15,priority,5.1,0.78,2025-11-10 02:00:00,4,14,16,none,16
ORD_00016,DEL_0016,Customer_16,standard,12.41,2.64,2025-11-10 04:00:00,24,12,18,refrigerated,18
ORD_00017,DEL_0017,Customer_17,standard,29.69,3.99,2025-11-10 02:00:00,24,14,18,refrigerated,19
ORD_00018,DEL_0018,Customer_18,standard,10.46,7.65,2025-11-10 02:00:00,24,9,17,refrigerated,13
ORD_00019,DEL_0019,Customer_19,standard,15.44,7.15,2025-11-10 01:00:00,24,9,17,none,11
ORD_00020,DEL_0020,Customer_20,standard,20.34,2.17,2025-11-10 02:00:00,24,9,17,none,10
ORD_00021,DEL_0021,Customer_21,standard,28.57,5.55,2025-11-10 01:00:00,24,9,17,fragile,20
ORD_00022,DEL_0022,Customer_22,standard,10.77,2.24,2025-11-10 04:00:00,24,11,18,none,14
ORD_00023,DEL_0023,Customer_23,standard,24.49,3.45,2025-11-10 02:00:00,24,9,14,fragile,16
ORD_00024,DEL_0024,Customer_24,express,4.48,0.93,2025-11-10 01:00:00,1,9,17,refrigerated,5
ORD_00025,DEL_0025,Customer_25,standard,14.91,6.31,2025-11-10 05:00:00,24,9,17,none,9
ORD_00026,DEL_0026,Customer_26,standard,25.4,2.57,2025-11-10 00:00:00,24,11,13,none,14
ORD_00027,DEL_0027,Customer_27,standard,19.82,5.06,2025-11-10 05:00:00,24,14,16,signature_required,8
ORD_00028,DEL_0028,Customer_28,priority,5.45,0.82,2025-11-10 06:00:00,4,9,17,none,14
ORD_00029,DEL_0029,Customer_29,express,4.38,0.83,2025-11-10 03:00:00,1,9,17,signature_required,19
ORD_00030,DEL_0030,Customer_30,standard,7.17,3.86,2025-11-10 00:00:00,24,11,14,refrigerated,20
ORD_00031,DEL_0031,Customer_31,standard,23.09,4.47,2025-11-10 03:00:00,24,9,12,signature_required,7
ORD_00032,DEL_0032,Customer_32,standard,22.08,1.53,2025-11-10 04:00:00,24,9,17,none,9
ORD_00033,DEL_0033,Customer_33,standard,17.01,5.15,2025-11-10 01:00:00,24,9,17,none,14
ORD_00034,DEL_0034,Customer_34,standard,21.95,4.96,2025-11-10 00:00:00,24,9,14,none,18
ORD_00035,DEL_0035,Customer_35,priority,12.37,2.15,2025-11-10 04:00:00,4,9,17,none,12
ORD_00036,DEL_0036,Customer_36,priority,11.21,2.59,2025-11-10 06:00:00,4,9,17,none,17
ORD_00037,DEL_0037,Customer_37,standard,20.47,6.27,2025-11-10 02:00:00,24,12,17,none,18
ORD_00038,DEL_0038,Customer_38,priority,13.33,0.57,2025-11-10 02:00:00,4,9,17,none,6
ORD_00039,DEL_0039,Customer_39,standard,13.38,6.2,2025-11-10 06:00:00,24,13,15,fragile,11
ORD_00040,DEL_0040,Customer_40,priority,12.82,1.77,2025-11-10 00:00:00,4,11,18,fragile,12
ORD_00041,DEL_0041,Customer_41,standard,20.42,7.87,2025-11-10 01:00:00,24,9,17,none,7
ORD_00042,DEL_0042,Customer_42,standard,20.85,4.78,2025-11-10 01:00:00,24,9,17,none,18
ORD_00043,DEL_0043,Customer_43,standard,24.03,4.79,2025-11-10 03:00:00,24,9,17,none,20
ORD_00044,DEL_0044,Customer_44,standard,20.82,7.52,2025-11-10 01:00:00,24,11,13,refrigerated,14
ORD_00045,DEL_0045,Customer_45,priority,10.94,0.67,2025-11-10 00:00:00,4,14,17,fragile,13
ORD_00046,DEL_0046,Customer_46,priority,2.88,1.96,2025-11-10 05:00:00,4,14,18,fragile,18
ORD_00047,DEL_0047,Customer_47,standard,6.14,7.1,2025-11-10 00:00:00,24,9,17,none,12
ORD_00048,DEL_0048,Customer_48,express,3.87,0.22,2025-11-10 05:00:00,1,9,17,fragile,13
ORD_00049,DEL_0049,Customer_49,standard,5.55,3.27,2025-11-10 06:00:00,24,9,17,fragile,7
ORD_00050,DEL_0050,Customer_50,priority,10.88,1.61,2025-11-10 06:00:00,4,9,13,refrigerated,14
ORD_00051,DEL_0051,Customer_51,express,2.42,0.51,2025-11-10 03:00:00,1,12,14,refrigerated,17
ORD_00052,DEL_0052,Customer_52,priority,11.02,1.05,2025-11-10 04:00:00,4,11,17,signature_required,19
ORD_00053,DEL_0053,Customer_53,standard,21.36,2.91,2025-11-10 00:00:00,24,9,17,none,6
ORD_00054,DEL_0054,Customer_54,standard,15.81,7.61,2025-11-10 03:00:00,24,9,17,refrigerated,13
ORD_00055,DEL_0055,Customer_55,standard,14.94,2.92,2025-11-10 00:00:00,24,9,17,none,12
ORD_00056,DEL_0056,Customer_56,standard,27.35,2.61,2025-11-10 04:00:00,24,14,18,none,13
ORD_00057,DEL_0057,Customer_57,standard,21.29,3.58,2025-11-10 04:00:00,24,9,17,none,10
ORD_00058,DEL_0058,Customer_58,standard,29.2,2.3,2025-11-10 03:00:00,24,9,17,none,19
ORD_00059,DEL_0059,Customer_59,priority,12.02,2.61,2025-11-10 02:00:00,4,9,17,fragile,18
ORD_00060,DEL_0060,Customer_60,standard,8.28,1.23,2025-11-10 05:00:00,24,9,17,signature_required,7
ORD_00061,DEL_0061,Customer_61,standard,24.91,4.37,2025-11-10 03:00:00,24,12,16,refrigerated,15
ORD_00062,DEL_0062,Customer_62,standard,22.14,4.01,2025-11-10 06:00:00,24,14,16,fragile,15
ORD_00063,DEL_0063,Customer_63,standard,6.61,5.07,2025-11-10 02:00:00,24,12,17,signature_required,6
