datetime,hour,traffic_level,congestion_factor,speed_multiplier,average_speed_kmh
2025-11-10 00:00:00,0,light,0.229,0.863,43.1
2025-11-10 01:00:00,1,light,0.206,0.876,43.8
2025-11-10 02:00:00,2,light,0.108,0.935,46.7
2025-11-10 03:00:00,3,light,0.294,0.824,41.2
2025-11-10 04:00:00,4,light,0.26,0.844,42.2
2025-11-10 05:00:00,5,light,0.159,0.905,45.2
2025-11-10 06:00:00,6,light,0.296,0.822,41.1
2025-11-10 07:00:00,7,heavy,0.781,0.532,26.6
2025-11-10 08:00:00,8,severe,0.824,0.505,25.3
2025-11-10 09:00:00,9,heavy,0.797,0.522,26.1
2025-11-10 10:00:00,10,moderate,0.301,0.819,41.0
2025-11-10 11:00:00,11,light,0.267,0.84,42.0
2025-11-10 12:00:00,12,light,0.33,0.802,40.1
2025-11-10 13:00:00,13,moderate,0.384,0.77,38.5
2025-11-10 14:00:00,14,light,0.272,0.837,41.8
2025-11-10 15:00:00,15,moderate,0.259,0.844,42.2
2025-11-10 16:00:00,16,light,0.394,0.764,38.2
2025-11-10 17:00:00,17,heavy,0.745,0.553,27.7
2025-11-10 18:00:00,18,heavy,0.754,0.548,27.4
2025-11-10 19:00:00,19,heavy,0.576,0.655,32.7
2025-11-10 20:00:00,20,light,0.192,0.885,44.2
2025-11-10 21:00:00,21,light,0.268,0.839,41.9
2025-11-10 22:00:00,22,light,0.246,0.853,42.6
2025-11-10 23:00:00,23,light,0.255,0.847,42.3
