date,day_of_week,forecasted_orders,confidence_level
2025-11-10,Monday,120,0.83
2025-11-11,Tuesday,136,0.76
2025-11-12,Wednesday,115,0.85
2025-11-13,Thursday,105,0.92
2025-11-14,Friday,105,0.8
2025-11-15,Saturday,64,0.87
2025-11-16,Sunday,49,0.77
2025-11-17,Monday,92,0.87
2025-11-18,Tuesday,119,0.83
2025-11-19,Wednesday,98,0.91
2025-11-20,Thursday,108,0.87
2025-11-21,Friday,106,0.91
2025-11-22,Saturday,80,0.76
2025-11-23,Sunday,75,0.79
2025-11-24,Monday,91,0.93
2025-11-25,Tuesday,140,0.85
2025-11-26,Wednesday,106,0.8
2025-11-27,Thursday,120,0.85
2025-11-28,Friday,101,0.75
2025-11-29,Saturday,62,0.86
2025-11-30,Sunday,53,0.77
2025-12-01,Monday,83,0.83
2025-12-02,Tuesday,92,0.92
2025-12-03,Wednesday,104,0.8
2025-12-04,Thursday,89,0.76
2025-12-05,Friday,100,0.87
2025-12-06,Saturday,50,0.93
2025-12-07,Sunday,64,0.77
2025-12-08,Monday,96,0.82
2025-12-09,Tuesday,97,0.89
