order_id,delivery_id,customer_name,priority,weight_kg,volume_m3,order_timestamp,sla_hours,time_window_start,time_window_end,special_requirements,estimated_delivery_time_minutes
ORD_00001,DEL_0001,Customer_1,priority,13.37,2.63,2025-11-10 01:00:00,4,9,17,none,19
ORD_00002,DEL_0002,Customer_2,standard,25.3,4.73,2025-11-10 00:00:00,24,12,18,none,14
ORD_00003,DEL_0003,Customer_3,standard,28.55,7.22,2025-11-10 02:00:00,24,9,12,signature_required,6
ORD_00004,DEL_0004,Customer_4,priority,12.48,1.18,2025-11-10 00:00:00,4,9,17,none,14
ORD_00005,DEL_0005,Customer_5,priority,7.71,0.78,2025-11-10 00:00:00,4,9,17,none,14
ORD_00006,DEL_0006,Customer_6,priority,10.48,2.43,2025-11-10 02:00:00,4,14,16,fragile,11
ORD_00007,DEL_0007,Customer_7,standard,21.07,3.29,2025-11-10 02:00:00,24,9,17,refrigerated,15
ORD_00008,DEL_0008,Customer_8,standard,15.84,3.78,2025-11-10 06:00:00,24,9,17,signature_required,8
ORD_00009,DEL_0009,Customer_9,standard,5.25,2.67,2025-11-10 02:00:00,24,9,17,fragile,10
ORD_00010,DEL_0010,Customer_10,standard,11.02,1.91,2025-11-10 02:00:00,24,9,17,none,5
ORD_00011,DEL_0011,Customer_11,standard,13.28,2.98,2025-11-10 04:00:00,24,9,17,none,8
ORD_00012,DEL_0012,Customer_12,priority,8.93,2.83,2025-11-10 01:00:00,4,9,17,none,16
ORD_00013,DEL_0013,Customer_13,standard,24.44,6.17,2025-11-10 04:00:00,24,9,17,refrigerated,13
ORD_00014,DEL_0014,Customer_14,standard,18.26,3.91,2025-11-10 01:00:00,24,9,17,refrigerated,12
ORD_00015,DEL_0015,Customer_15,standard,10.99,3.61,2025-11-10 02:00:00,24,10,12,none,15
ORD_00016,DEL_0016,Customer_16,standard,8.36,3.24,2025-11-10 04:00:00,24,9,17,signature_required,6
ORD_00017,DEL_0017,Customer_17,standard,23.71,1.79,2025-11-10 03:00:00,24,10,12,none,8
ORD_00018,DEL_0018,Customer_18,priority,11.92,1.47,2025-11-10 03:00:00,4,9,17,none,7
ORD_00019,DEL_0019,Customer_19,priority,14.51,1.57,2025-11-10 01:00:00,4,12,17,none,19
ORD_00020,DEL_0020,Customer_20,standard,22.12,1.88,2025-11-10 04:00:00,24,9,17,refrigerated,14
ORD_00021,DEL_0021,Customer_21,standard,17.07,3.32,2025-11-10 02:00:00,24,9,17,fragile,7
ORD_00022,DEL_0022,Customer_22,standard,25.67,5.16,2025-11-10 06:00:00,24,9,17,signature_required,9
ORD_00023,DEL_0023,Customer_23,express,3.56,0.99,2025-11-10 00:00:00,1,9,18,signature_required,14
ORD_00024,DEL_0024,Customer_24,standard,7.7,2.84,2025-11-10 05:00:00,24,9,17,signature_required,20
ORD_00025,DEL_0025,Customer_25,standard,18.0,4.97,2025-11-10 01:00:00,24,9,17,fragile,9
ORD_00026,DEL_0026,Customer_26,standard,24.77,1.93,2025-11-10 02:00:00,24,13,17,signature_required,10
ORD_00027,DEL_0027,Customer_27,standard,22.27,3.83,2025-11-10 05:00:00,24,9,17,refrigerated,15
ORD_00028,DEL_0028,Customer_28,standard,15.07,1.25,2025-11-10 03:00:00,24,9,17,signature_required,5
ORD_00029,DEL_0029,Customer_29,priority,3.49,1.26,2025-11-10 00:00:00,4,9,17,signature_required,8
ORD_00030,DEL_0030,Customer_30,standard,11.04,5.71,2025-11-10 03:00:00,24,11,16,fragile,14
ORD_00031,DEL_0031,Customer_31,priority,3.37,2.27,2025-11-10 06:00:00,4,9,17,refrigerated,9
ORD_00032,DEL_0032,Customer_32,priority,3.64,2.19,2025-11-10 04:00:00,4,9,17,none,17
ORD_00033,DEL_0033,Customer_33,standard,17.29,6.05,2025-11-10 06:00:00,24,9,17,none,15
ORD_00034,DEL_0034,Customer_34,standard,5.49,6.64,2025-11-10 06:00:00,24,13,15,refrigerated,19
ORD_00035,DEL_0035,Customer_35,express,3.29,0.69,2025-11-10 03:00:00,1,12,18,fragile,12
ORD_00036,DEL_0036,Customer_36,standard,21.48,7.37,2025-11-10 04:00:00,24,9,17,fragile,20
ORD_00037,DEL_0037,Customer_37,standard,8.35,1.39,2025-11-10 03:00:00,24,9,17,none,15
ORD_00038,DEL_0038,Customer_38,standard,5.05,2.57,2025-11-10 05:00:00,24,10,18,none,18
ORD_00039,DEL_0039,Customer_39,express,2.86,0.28,2025-11-10 06:00:00,1,12,18,refrigerated,12
