datetime,hour,traffic_level,congestion_factor,speed_multiplier,average_speed_kmh
2025-11-10 00:00:00,0,light,0.169,0.898,44.9
2025-11-10 01:00:00,1,light,0.14,0.916,45.8
2025-11-10 02:00:00,2,light,0.262,0.843,42.2
2025-11-10 03:00:00,3,light,0.111,0.934,46.7
2025-11-10 04:00:00,4,light,0.114,0.932,46.6
2025-11-10 05:00:00,5,light,0.188,0.887,44.4
2025-11-10 06:00:00,6,light,0.151,0.91,45.5
2025-11-10 07:00:00,7,heavy,0.824,0.506,25.3
2025-11-10 08:00:00,8,heavy,0.832,0.501,25.0
2025-11-10 09:00:00,9,severe,0.822,0.507,25.3
2025-11-10 10:00:00,10,light,0.304,0.818,40.9
2025-11-10 11:00:00,11,light,0.47,0.718,35.9
2025-11-10 12:00:00,12,light,0.305,0.817,40.8
2025-11-10 13:00:00,13,light,0.209,0.875,43.7
2025-11-10 14:00:00,14,light,0.329,0.802,40.1
2025-11-10 15:00:00,15,moderate,0.287,0.828,41.4
2025-11-10 16:00:00,16,moderate,0.331,0.801,40.1
2025-11-10 17:00:00,17,heavy,0.786,0.528,26.4
2025-11-10 18:00:00,18,heavy,0.78,0.532,26.6
2025-11-10 19:00:00,19,moderate,0.769,0.539,26.9
2025-11-10 20:00:00,20,light,0.169,0.899,44.9
2025-11-10 21:00:00,21,light,0.251,0.85,42.5
2025-11-10 22:00:00,22,light,0.185,0.889,44.5
2025-11-10 23:00:00,23,light,0.267,0.84,42.0
