vehicle_id,vehicle_type,capacity_kg,capacity_vol,fuel_efficiency_l_per_km,depot_latitude,depot_longitude,depot_name,cost_per_km,driver_name,available_from,available_until
VEH_001,small_van,500,5,0.07,40.744884,-73.875728,Warehouse 2,1.47,Driver_1,08:00,20:00
VEH_002,small_van,500,5,0.07,40.657546,-73.953038,Warehouse 3,0.95,Driver_2,08:00,20:00
VEH_003,small_van,500,5,0.07,40.635981,-74.079632,Warehouse 4,0.83,Driver_3,08:00,20:00
VEH_004,small_van,500,5,0.07,40.752548,-74.167388,Warehouse 5,1.0,Driver_4,08:00,20:00
VEH_005,small_van,500,5,0.07,40.635981,-74.079632,Warehouse 4,1.35,Driver_5,08:00,20:00
VEH_006,small_van,500,5,0.07,40.752548,-74.167388,Warehouse 5,1.33,Driver_6,08:00,20:00
VEH_007,small_van,500,5,0.07,40.635981,-74.079632,Warehouse 4,0.95,Driver_7,08:00,20:00
VEH_008,small_van,500,5,0.07,40.744884,-73.875728,Warehouse 2,0.94,Driver_8,08:00,20:00
VEH_009,small_van,500,5,0.07,40.841597,-74.006,Warehouse 1,1.25,Driver_9,08:00,20:00
VEH_010,small_van,500,5,0.07,40.657546,-73.953038,Warehouse 3,1.12,Driver_10,08:00,20:00
VEH_011,small_van,500,5,0.07,40.841597,-74.006,Warehouse 1,1.35,Driver_11,08:00,20:00
VEH_012,small_van,500,5,0.07,40.657546,-73.953038,Warehouse 3,0.82,Driver_12,08:00,20:00
VEH_013,small_van,500,5,0.07,40.841597,-74.006,Warehouse 1,1.23,Driver_13,08:00,20:00
VEH_014,small_van,500,5,0.07,40.657546,-73.953038,Warehouse 3,1.31,Driver_14,08:00,20:00
VEH_015,small_van,500,5,0.07,40.635981,-74.079632,Warehouse 4,1.5,Driver_15,08:00,20:00
VEH_016,medium_truck,2000,15,0.1,40.744884,-73.875728,Warehouse 2,1.28,Driver_16,08:00,20:00
VEH_017,medium_truck,2000,15,0.1,40.752548,-74.167388,Warehouse 5,0.96,Driver_17,08:00,20:00
