date,day_of_week,forecasted_orders,confidence_level
2025-11-10,Monday,127,0.91
2025-11-11,Tuesday,125,0.77
2025-11-12,Wednesday,110,0.91
2025-11-13,Thursday,86,0.82
2025-11-14,Friday,98,0.9
2025-11-15,Saturday,59,0.86
2025-11-16,Sunday,41,0.88
2025-11-17,Monday,85,0.78
2025-11-18,Tuesday,127,0.89
2025-11-19,Wednesday,91,0.88
2025-11-20,Thursday,101,0.85
2025-11-21,Friday,71,0.85
2025-11-22,Saturday,52,0.84
2025-11-23,Sunday,58,0.82
2025-11-24,Monday,103,0.82
2025-11-25,Tuesday,112,0.77
2025-11-26,Wednesday,94,0.87
2025-11-27,Thursday,124,0.84
2025-11-28,Friday,106,0.86
2025-11-29,Saturday,65,0.85
2025-11-30,Sunday,64,0.88
2025-12-01,Monday,97,0.78
2025-12-02,Tuesday,109,0.91
2025-12-03,Wednesday,82,0.77
2025-12-04,Thursday,128,0.92
2025-12-05,Friday,72,0.95
2025-12-06,Saturday,65,0.8
2025-12-07,Sunday,58,0.89
2025-12-08,Monday,90,0.93
2025-12-09,Tuesday,94,0.84
