order_id,delivery_id,customer_name,priority,weight_kg,volume_m3,order_timestamp,sla_hours,time_window_start,time_window_end,special_requirements,estimated_delivery_time_minutes
ORD_00001,DEL_0001,Customer_1,standard,17.23,6.59,2025-11-10 01:00:00,24,9,17,none,7
ORD_00002,DEL_0002,Customer_2,priority,10.28,2.22,2025-11-10 03:00:00,4,9,17,refrigerated,11
ORD_00003,DEL_0003,Customer_3,standard,22.23,1.49,2025-11-10 04:00:00,24,9,17,fragile,8
ORD_00004,DEL_0004,Customer_4,priority,5.19,2.42,2025-11-10 05:00:00,4,13,17,none,7
ORD_00005,DEL_0005,Customer_5,standard,6.63,6.46,2025-11-10 04:00:00,24,9,17,signature_required,18
ORD_00006,DEL_0006,Customer_6,priority,2.06,1.75,2025-11-10 02:00:00,4,9,17,refrigerated,11
ORD_00007,DEL_0007,Customer_7,standard,21.24,1.59,2025-11-10 06:00:00,24,10,12,signature_required,20
ORD_00008,DEL_0008,Customer_8,standard,21.34,2.02,2025-11-10 03:00:00,24,9,15,none,8
ORD_00009,DEL_0009,Customer_9,standard,10.97,2.59,2025-11-10 04:00:00,24,12,15,refrigerated,17
ORD_00010,DEL_0010,Customer_10,standard,15.95,6.43,2025-11-10 01:00:00,24,9,17,none,5
ORD_00011,DEL_0011,Customer_11,standard,6.22,7.15,2025-11-10 05:00:00,24,11,13,none,5
ORD_00012,DEL_0012,Customer_12,standard,5.55,5.4,2025-11-10 03:00:00,24,9,17,refrigerated,9
ORD_00013,DEL_0013,Customer_13,express,4.49,0.47,2025-11-10 04:00:00,1,12,14,none,6
ORD_00014,DEL_0014,Customer_14,standard,8.81,1.97,2025-11-10 00:00:00,24,11,18,none,20
ORD_00015,DEL_0015,Customer_15,standard,11.01,3.15,2025-11-10 00:00:00,24,9,17,signature_required,14
ORD_00016,DEL_0016,Customer_16,standard,29.69,3.61,2025-11-10 02:00:00,24,9,17,refrigerated,16
ORD_00017,DEL_0017,Customer_17,standard,9.57,2.0,2025-11-10 03:00:00,24,9,17,none,15
ORD_00018,DEL_0018,Customer_18,express,0.7,0.24,2025-11-10 03:00:00,1,9,17,none,6
ORD_00019,DEL_0019,Customer_19,standard,14.1,1.9,2025-11-10 03:00:00,24,9,17,refrigerated,19
ORD_00020,DEL_0020,Customer_20,standard,13.8,1.66,2025-11-10 03:00:00,24,9,17,none,16
ORD_00021,DEL_0021,Customer_21,express,1.98,0.89,2025-11-10 04:00:00,1,9,17,none,5
ORD_00022,DEL_0022,Customer_22,express,4.06,0.69,2025-11-10 01:00:00,1,9,17,none,5
ORD_00023,DEL_0023,Customer_23,standard,16.57,7.92,2025-11-10 01:00:00,24,9,17,none,15
ORD_00024,DEL_0024,Customer_24,express,4.01,0.89,2025-11-10 06:00:00,1,9,17,signature_required,12
ORD_00025,DEL_0025,Customer_25,priority,8.8,2.81,2025-11-10 01:00:00,4,9,17,none,11
ORD_00026,DEL_0026,Customer_26,priority,10.75,1.26,2025-11-10 06:00:00,4,14,17,none,5
ORD_00027,DEL_0027,Customer_27,priority,9.62,1.25,2025-11-10 02:00:00,4,14,16,none,8
ORD_00028,DEL_0028,Customer_28,priority,12.87,2.54,2025-11-10 00:00:00,4,9,17,refrigerated,7
ORD_00029,DEL_0029,Customer_29,standard,12.6,1.06,2025-11-10 02:00:00,24,9,17,refrigerated,17
ORD_00030,DEL_0030,Customer_30,standard,20.77,4.53,2025-11-10 02:00:00,24,9,17,fragile,9
ORD_00031,DEL_0031,Customer_31,priority,2.41,2.43,2025-11-10 00:00:00,4,13,18,fragile,15
ORD_00032,DEL_0032,Customer_32,standard,15.75,1.44,2025-11-10 06:00:00,24,9,17,fragile,18
ORD_00033,DEL_0033,Customer_33,standard,5.73,1.28,2025-11-10 05:00:00,24,9,17,signature_required,8
ORD_00034,DEL_0034,Customer_34,priority,7.69,1.89,2025-11-10 04:00:00,4,9,17,none,12
ORD_00035,DEL_0035,Customer_35,standard,10.62,5.29,2025-11-10 04:00:00,24,9,17,signature_required,20
ORD_00036,DEL_0036,Customer_36,priority,10.07,2.92,2025-11-10 06:00:00,4,11,15,signature_required,12
ORD_00037,DEL_0037,Customer_37,express,2.92,0.7,2025-11-10 06:00:00,1,9,15,refrigerated,7
ORD_00038,DEL_0038,Customer_38,standard,24.23,5.95,2025-11-10 06:00:00,24,11,17,fragile,11
ORD_00039,DEL_0039,Customer_39,standard,7.21,7.97,2025-11-10 05:00:00,24,9,17,none,7
ORD_00040,DEL_0040,Customer_40,standard,26.47,7.44,2025-11-10 01:00:00,24,12,14,none,11
ORD_00041,DEL_0041,Customer_41,priority,7.75,2.14,2025-11-10 01:00:00,4,12,17,signature_required,8
ORD_00042,DEL_0042,Customer_42,standard,15.61,2.02,2025-11-10 02:00:00,24,9,17,fragile,15
ORD_00043,DEL_0043,Customer_43,standard,15.0,7.26,2025-11-10 06:00:00,24,9,17,refrigerated,19
ORD_00044,DEL_0044,Customer_44,standard,28.91,7.21,2025-11-10 06:00:00,24,14,16,none,8
ORD_00045,DEL_0045,Customer_45,standard,29.28,3.61,2025-11-10 02:00:00,24,10,13,signature_required,19
ORD_00046,DEL_0046,Customer_46,standard,7.86,6.18,2025-11-10 06:00:00,24,9,17,none,11
ORD_00047,DEL_0047,Customer_47,express,3.98,0.32,2025-11-10 00:00:00,1,12,15,refrigerated,18
ORD_00048,DEL_0048,Customer_48,express,2.03,0.38,2025-11-10 01:00:00,1,9,17,refrigerated,8
ORD_00049,DEL_0049,Customer_49,standard,10.37,7.22,2025-11-10 01:00:00,24,9,17,signature_required,8
ORD_00050,DEL_0050,Customer_50,standard,26.56,3.73,2025-11-10 05:00:00,24,9,17,none,12
ORD_00051,DEL_0051,Customer_51,priority,14.65,1.16,2025-11-10 01:00:00,4,9,18,refrigerated,5
ORD_00052,DEL_0052,Customer_52,standard,19.04,1.1,2025-11-10 03:00:00,24,9,17,none,19
ORD_00053,DEL_0053,Customer_53,standard,15.13,1.28,2025-11-10 02:00:00,24,9,17,refrigerated,8
ORD_00054,DEL_0054,Customer_54,standard,13.21,7.09,2025-11-10 04:00:00,24,9,17,none,16
ORD_00055,DEL_0055,Customer_55,standard,6.8,6.01,2025-11-10 01:00:00,24,12,15,signature_required,18
ORD_00056,DEL_0056,Customer_56,priority,7.79,1.37,2025-11-10 04:00:00,4,9,17,refrigerated,6
ORD_00057,DEL_0057,Customer_57,priority,13.73,0.62,2025-11-10 03:00:00,4,9,17,refrigerated,16
ORD_00058,DEL_0058,Customer_58,standard,16.71,7.2,2025-11-10 05:00:00,24,9,11,signature_required,18
ORD_00059,DEL_0059,Customer_59,priority,10.2,2.84,2025-11-10 01:00:00,4,9,17,refrigerated,11
ORD_00060,DEL_0060,Customer_60,standard,10.78,3.76,2025-11-10 04:00:00,24,12,15,refrigerated,20
ORD_00061,DEL_0061,Customer_61,standard,16.78,7.69,2025-11-10 04:00:00,24,9,17,signature_required,8
ORD_00062,DEL_0062,Customer_62,priority,14.24,2.69,2025-11-10 05:00:00,4,14,16,fragile,8
ORD_00063,DEL_0063,Customer_63,standard,13.69,3.8,2025-11-10 00:00:00,24,10,12,none,13
ORD_00064,DEL_0064,Customer_64,priority,7.88,1.81,2025-11-10 01:00:00,4,9,17,none,8
ORD_00065,DEL_0065,Customer_65,standard,17.2,6.42,2025-11-10 04:00:00,24,11,14,signature_required,17
ORD_00066,DEL_0066,Customer_66,standard,10.99,7.07,2025-11-10 01:00:00,24,12,14,refrigerated,20
ORD_00067,DEL_0067,Customer_67,standard,19.95,2.28,2025-11-10 06:00:00,24,10,13,fragile,16
ORD_00068,DEL_0068,Customer_68,standard,13.84,4.67,2025-11-10 05:00:00,24,9,17,refrigerated,14
ORD_00069,DEL_0069,Customer_69,standard,21.35,3.15,2025-11-10 00:00:00,24,14,16,fragile,20
ORD_00070,DEL_0070,Customer_70,priority,13.06,1.14,2025-11-10 05:00:00,4,9,17,refrigerated,12
ORD_00071,DEL_0071,Customer_71,standard,18.33,5.62,2025-11-10 05:00:00,24,10,14,none,10
ORD_00072,DEL_0072,Customer_72,priority,2.81,1.67,2025-11-10 01:00:00,4,9,17,refrigerated,19
ORD_00073,DEL_0073,Customer_73,standard,8.73,7.9,2025-11-10 01:00:00,24,9,17,none,20
ORD_00074,DEL_0074,Customer_74,priority,7.35,0.96,2025-11-10 03:00:00,4,9,17,refrigerated,5
ORD_00075,DEL_0075,Customer_75,standard,26.31,3.39,2025-11-10 00:00:00,24,10,14,fragile,5
ORD_00076,DEL_0076,Customer_76,express,2.85,0.23,2025-11-10 03:00:00,1,13,17,none,5
ORD_00077,DEL_0077,Customer_77,standard,6.06,4.24,2025-11-10 03:00:00,24,9,17,fragile,20
ORD_00078,DEL_0078,Customer_78,priority,6.61,2.96,2025-11-10 06:00:00,4,9,11,none,14
ORD_00079,DEL_0079,Customer_79,standard,7.24,6.14,2025-11-10 06:00:00,24,9,17,fragile,10
ORD_00080,DEL_0080,Customer_80,priority,9.22,1.71,2025-11-10 06:00:00,4,9,17,fragile,8
ORD_00081,DEL_0081,Customer_81,priority,14.86,1.49,2025-11-10 00:00:00,4,9,17,refrigerated,15
ORD_00082,DEL_0082,Customer_82,standard,11.34,1.62,2025-11-10 05:00:00,24,12,17,refrigerated,13
ORD_00083,DEL_0083,Customer_83,priority,13.09,2.45,2025-11-10 05:00:00,4,9,17,signature_required,13
ORD_00084,DEL_0084,Customer_84,standard,22.72,3.74,2025-11-10 02:00:00,24,9,17,signature_required,5
ORD_00085,DEL_0085,Customer_85,standard,22.45,4.75,2025-11-10 06:00:00,24,9,17,refrigerated,14
