datetime,hour,traffic_level,congestion_factor,speed_multiplier,average_speed_kmh
2025-11-10 00:00:00,0,light,0.155,0.907,45.4
2025-11-10 01:00:00,1,light,0.284,0.83,41.5
2025-11-10 02:00:00,2,light,0.115,0.931,46.5
2025-11-10 03:00:00,3,light,0.222,0.867,43.3
2025-11-10 04:00:00,4,light,0.236,0.858,42.9
2025-11-10 05:00:00,5,light,0.201,0.879,44.0
2025-11-10 06:00:00,6,light,0.239,0.857,42.8
2025-11-10 07:00:00,7,severe,0.652,0.609,30.4
2025-11-10 08:00:00,8,heavy,0.642,0.615,30.7
2025-11-10 09:00:00,9,heavy,0.623,0.626,31.3
2025-11-10 10:00:00,10,moderate,0.401,0.759,38.0
2025-11-10 11:00:00,11,light,0.422,0.747,37.3
2025-11-10 12:00:00,12,light,0.48,0.712,35.6
2025-11-10 13:00:00,13,light,0.368,0.779,38.9
2025-11-10 14:00:00,14,moderate,0.323,0.806,40.3
2025-11-10 15:00:00,15,light,0.256,0.847,42.3
2025-11-10 16:00:00,16,moderate,0.417,0.75,37.5
2025-11-10 17:00:00,17,moderate,0.765,0.541,27.0
2025-11-10 18:00:00,18,moderate,0.693,0.584,29.2
2025-11-10 19:00:00,19,heavy,0.64,0.616,30.8
2025-11-10 20:00:00,20,light,0.286,0.828,41.4
2025-11-10 21:00:00,21,light,0.279,0.833,41.6
2025-11-10 22:00:00,22,light,0.128,0.923,46.2
2025-11-10 23:00:00,23,light,0.27,0.838,41.9
