date,day_of_week,forecasted_orders,confidence_level
2025-11-10,Monday,66,0.8
2025-11-11,Tuesday,113,0.8
2025-11-12,Wednesday,128,0.9
2025-11-13,Thursday,100,0.85
2025-11-14,Friday,69,0.81
2025-11-15,Saturday,40,0.94
2025-11-16,Sunday,73,0.85
2025-11-17,Monday,112,0.79
2025-11-18,Tuesday,148,0.91
2025-11-19,Wednesday,98,0.89
2025-11-20,Thursday,141,0.89
2025-11-21,Friday,111,0.84
2025-11-22,Saturday,49,0.83
2025-11-23,Sunday,71,0.8
2025-11-24,Monday,93,0.92
2025-11-25,Tuesday,127,0.87
2025-11-26,Wednesday,103,0.89
2025-11-27,Thursday,120,0.8
2025-11-28,Friday,82,0.84
2025-11-29,Saturday,64,0.9
2025-11-30,Sunday,48,0.91
2025-12-01,Monday,101,0.83
2025-12-02,Tuesday,117,0.77
2025-12-03,Wednesday,127,0.95
2025-12-04,Thursday,106,0.81
2025-12-05,Friday,88,0.77
2025-12-06,Saturday,37,0.79
2025-12-07,Sunday,68,0.93
2025-12-08,Monday,114,0.76
2025-12-09,Tuesday,103,0.78
